Id	Oxygen	Centroid Size	Log Centroid Size
Control_010M-WING	Control	2.3531192458493613	0.8557417866801509
Control_011F-WING	Control	2.4511193747265767	0.8965448078587572
Control_012M-WING	Control	2.3709274905009923	0.8632812247940375
Control_013M-WING	Control	2.2775759996247475	0.8231117193536146
Control_015M-WING	Control	2.241138334861699	0.8069839219906922
Control_017F-WING	Control	2.6556720447951903	0.9766977468800169
Control_018M-WING	Control	2.263306172839489	0.8168266526122985
Control_019M-WING	Control	2.3635755944049395	0.8601755548331536
Control_001M-WING	Control	2.2764494640850996	0.822616976594004
Control_020F-WING	Control	2.564291870769265	0.9416823667331875
Control_021F-WING	Control	2.6011141080442175	0.9559398563401335
Control_022F-WING	Control	2.3498871269346817	0.854367295910913
Control_023F-WING	Control	2.7465459987579552	1.0103441217971747
Control_024F-WING	Control	2.7145809379448114	0.9986375908077144
Control_025M-WING	Control	2.356896305307752	0.8573456286322692
Control_027M-WING	Control	2.3344754795685176	0.8477872318690952
Control_028M-WING	Control	2.3522235737474726	0.855361082384185
Control_029M-WING	Control	2.4061252881926154	0.878017689427237
Control_002F-WING	Control	2.6391621205652878	0.9704614882092316
Control_030M-WING	Control	2.383478935570159	0.8685611580193948
Control_031M-WING	Control	2.2182697065175216	0.7967274805065492
Control_032M-WING	Control	2.3087096097315207	0.83668875794689
Control_033F-WING	Control	2.656618709926839	0.9770541525006347
Control_034M-WING	Control	2.3544203013763982	0.8562945406388215
Control_035F-WING	Control	2.6136929045573294	0.9607641272590196
Control_036M-WING	Control	2.367275235373642	0.8617396040310704
Control_037F-WING	Control	2.7006428051953364	0.9934898206729629
Control_038F-WING	Control	2.7252626907927002	1.0025648237598972
Control_039M-WING	Control	2.282059597243973	0.8250783673319779
Control_003M-WING	Control	2.3624311963314395	0.8596912567157192
Control_040F-WING	Control	2.5947753038468147	0.9534999247559041
Control_041M-WING	Control	2.3846072653723644	0.8690344421739659
Control_042M-WING	Control	2.337618537472129	0.8491326921129577
Control_043M-WING	Control	2.3846946216738107	0.8690710749154131
Control_044M-WING	Control	2.3350801798368	0.8480462287911876
