Control_041M-WING	0.58107	1.45462	0.62230	1.35541	0.59653	1.25234	0.76274	1.17503	0.78593	1.23043	0.81299	1.40952	0.82845	1.59248	1.03202	1.45591	1.04619	1.39664	1.39664	1.43400	1.41983	1.28455	1.81022	2.04085	2.24957	1.88882	2.26246	1.69684	1.74580	1.15184
Control_042M-WING	1.20724	0.48959	1.10932	0.53469	1.01140	0.49861	0.93410	0.66868	0.98692	0.68414	1.16215	0.70476	1.34124	0.72022	1.21626	0.93152	1.15571	0.93925	1.20338	1.29357	1.04748	1.30387	1.80120	1.71488	1.64015	2.12588	1.44431	2.12202	0.92121	1.59763
Control_043M-WING	0.78851	1.85661	0.88900	1.90428	0.92766	1.99704	1.10546	1.96226	1.08484	1.90557	0.99594	1.75353	0.89287	1.59763	1.13638	1.57187	1.18405	1.60923	1.43272	1.36443	1.55512	1.46364	1.37603	0.61328	1.79476	0.46898	1.93391	0.61199	1.88882	1.35541
Control_044M-WING	0.82458	1.93005	0.76532	1.83470	0.67770	1.78703	0.71636	1.61309	0.77176	1.64015	0.92508	1.71488	1.07325	1.81666	1.08742	1.57058	1.04877	1.52935	1.28712	1.27811	1.18534	1.17246	2.04085	1.30774	2.15552	0.89029	1.99189	0.76789	1.27682	0.84906
Control_045F-WING	0.56046	1.03459	0.64163	0.93796	0.63905	0.82587	0.84133	0.78335	0.84777	0.85422	0.81428	1.04104	0.78464	1.24718	1.05392	1.17117	1.07454	1.10546	1.42627	1.23688	1.48039	1.07196	1.75740	2.04085	2.23154	1.99318	2.29596	1.79218	1.89655	1.04104
Control_046M-WING	1.89268	1.00625	1.79218	0.95085	1.77801	0.84391	1.60279	0.85937	1.60923	0.91606	1.68138	1.06809	1.75353	1.24590	1.50744	1.23559	1.47008	1.18663	1.21368	1.37474	1.11190	1.26909	1.11190	2.12846	0.68801	2.17871	0.58751	2.02023	0.77176	1.32062
Control_047F-WING	2.15294	1.97514	2.20319	1.85403	2.30626	1.79605	2.24055	1.59248	2.18000	1.62469	2.01250	1.74709	1.85145	1.88624	1.77415	1.60794	1.82311	1.54739	1.49843	1.30001	1.62340	1.16988	0.67126	1.44689	0.46898	1.00754	0.60684	0.84777	1.46364	0.81299
Control_048M-WING	0.57592	1.29614	0.62745	1.19565	0.60169	1.09515	0.75758	1.01785	0.77433	1.07196	0.79753	1.24461	0.81943	1.43529	1.03459	1.30516	1.04877	1.24461	1.38633	1.28712	1.39922	1.13509	1.81280	1.89526	2.24700	1.75353	2.24571	1.54610	1.73034	1.01785
Control_049M-WING	0.69059	1.55254	0.77820	1.62082	0.77176	1.73163	0.96889	1.73678	0.96502	1.67880	0.93539	1.49456	0.86839	1.33093	1.12865	1.35799	1.16344	1.40824	1.45075	1.25878	1.52548	1.39664	1.62984	0.54242	2.09110	0.53984	2.16325	0.71507	1.86305	1.40566
Control_004M-WING	0.61199	1.24718	0.63390	1.15313	0.59782	1.06809	0.73439	0.97017	0.76016	1.01527	0.80397	1.16859	0.86066	1.32835	1.04748	1.18792	1.05006	1.12865	1.34897	1.11061	1.34639	0.96115	1.80378	1.59763	2.19804	1.39535	2.17098	1.21111	1.62340	0.79495
Control_050M-WING	1.10932	1.92747	1.03073	1.84887	0.92637	1.83470	0.90833	1.65304	0.96760	1.65561	1.13896	1.69813	1.33093	1.73936	1.27424	1.49327	1.21497	1.46750	1.37989	1.13896	1.24203	1.07067	2.12588	0.95085	2.12202	0.49990	1.93391	0.42260	1.23043	0.72151
Control_051M-WING	1.96741	1.87464	1.86176	1.92489	1.82568	2.02796	1.64402	1.98416	1.66463	1.92618	1.75611	1.76642	1.85403	1.61696	1.61052	1.58475	1.56542	1.62727	1.32578	1.39535	1.20209	1.49198	1.36056	0.64549	0.93539	0.49475	0.80526	0.65065	0.87741	1.39149
Control_052F-WING	0.84133	1.97127	0.77176	1.86305	0.65451	1.81924	0.69059	1.61438	0.76016	1.63242	0.92250	1.73807	1.11963	1.82826	1.15571	1.53837	1.10159	1.49069	1.33995	1.21497	1.21755	1.08871	2.19546	1.17761	2.31786	0.73182	2.15036	0.59524	1.30516	0.72280
Control_053F-WING	0.72924	2.01508	0.68414	1.89268	0.60169	1.83470	0.64292	1.64015	0.70605	1.67236	0.86452	1.78317	1.03202	1.90557	1.09129	1.63113	1.04877	1.57573	1.35283	1.31934	1.23301	1.18276	2.18000	1.43272	2.38615	0.98435	2.23154	0.83231	1.38118	0.83618
Control_054F-WING	2.08337	1.10030	2.06533	1.23043	2.13104	1.32449	1.97772	1.46621	1.93520	1.41854	1.86305	1.23430	1.78188	1.04877	1.59248	1.25491	1.60279	1.32320	1.21497	1.39922	1.23559	1.56671	0.56175	0.91477	0.18037	1.18663	0.22160	1.40566	0.94956	1.80893
Control_055F-WING	0.53598	1.04748	0.60942	0.94054	0.58880	0.82974	0.77949	0.77176	0.79366	0.83231	0.78593	1.01656	0.78335	1.21755	1.02815	1.11319	1.04877	1.04490	1.39922	1.12092	1.43916	0.96760	1.81666	1.81151	2.24828	1.70586	2.28951	1.51002	1.79218	0.87612
Control_057F-WING	1.29614	2.21221	1.19694	2.14263	1.08871	2.14263	1.04233	1.93778	1.11319	1.93520	1.29486	1.96354	1.50100	1.97643	1.42885	1.70844	1.36572	1.68396	1.51389	1.32835	1.35155	1.26393	2.30884	1.01913	2.26632	0.55015	2.07950	0.49217	1.31934	0.89416
Control_058M-WING	0.56046	1.14411	0.57076	1.24718	0.51923	1.32578	0.63519	1.45333	0.66482	1.40566	0.73826	1.26007	0.82974	1.09644	0.97275	1.28068	0.95729	1.34253	1.29228	1.41854	1.27295	1.55898	1.86691	1.00496	2.23540	1.29743	2.16454	1.49069	1.51517	1.79347
Control_061F-WING	0.49604	1.25620	0.56046	1.13767	0.52696	1.02558	0.72022	0.93410	0.73697	1.00496	0.75630	1.20209	0.76918	1.40437	1.03073	1.28197	1.04490	1.20982	1.42885	1.27166	1.47137	1.08742	1.90299	1.97514	2.37455	1.83599	2.39259	1.61438	1.83470	0.96889
Control_064M-WING	0.57205	1.08355	0.64034	0.99981	0.63776	0.89416	0.81428	0.85422	0.81943	0.91091	0.79881	1.09000	0.77047	1.26522	1.02558	1.20338	1.04748	1.14669	1.34639	1.23688	1.38891	1.09644	1.62340	1.90041	2.07692	1.83084	2.11558	1.64402	1.73421	1.04104
Control_069M-WING	0.90060	1.88495	0.82329	1.79218	0.72924	1.75869	0.73955	1.58088	0.80010	1.59248	0.95471	1.66334	1.12736	1.73807	1.12350	1.48941	1.07582	1.45075	1.27811	1.17503	1.14926	1.09257	1.97901	1.12607	2.07177	0.67770	1.90685	0.57205	1.19049	0.75887
Control_006M-WING	2.21479	1.68653	2.23798	1.57702	2.29982	1.50487	2.20963	1.35026	2.16067	1.38633	2.05889	1.52548	1.93649	1.66721	1.81151	1.44173	1.83857	1.38376	1.53965	1.23559	1.60021	1.09773	0.81943	1.51904	0.55788	1.16988	0.65709	0.99079	1.40179	0.81943
Control_071F-WING	0.67126	1.73292	0.65065	1.60408	0.55144	1.54223	0.64163	1.34897	0.69832	1.39149	0.82201	1.53192	0.97662	1.68396	1.07711	1.41983	1.03975	1.35670	1.34897	1.16472	1.28326	0.99852	2.11300	1.40824	2.37455	1.02429	2.26246	0.85293	1.47395	0.68930
Control_007M-WING	1.97901	1.43916	1.97385	1.33093	2.02796	1.24332	1.89912	1.11061	1.86047	1.15828	1.79090	1.31934	1.70328	1.48812	1.53579	1.29357	1.55383	1.23430	1.23816	1.15957	1.25620	1.00625	0.59138	1.58861	0.25897	1.30259	0.31308	1.11190	0.98950	0.77433
Control_080F-WING	2.05373	1.50744	2.03054	1.37989	2.08723	1.27682	1.92747	1.13509	1.88624	1.19307	1.82955	1.37731	1.75353	1.57444	1.54610	1.37603	1.55254	1.30001	1.19436	1.24718	1.19822	1.06809	0.57334	1.75482	0.19970	1.49198	0.23706	1.29357	0.89545	0.85679
Control_081F-WING	0.55273	1.22786	0.61715	1.11319	0.60813	1.00496	0.79753	0.91864	0.81943	0.98950	0.81299	1.18920	0.82201	1.40308	1.08742	1.28970	1.10803	1.22142	1.49714	1.30774	1.53965	1.12994	1.89526	2.04858	2.39130	1.94808	2.43511	1.74451	1.92618	1.03588
Control_008M-WING	0.83102	2.08466	0.78980	1.97643	0.70089	1.92747	0.74985	1.74967	0.80397	1.77801	0.94183	1.88882	1.09644	1.99575	1.14926	1.75096	1.10803	1.69942	1.34510	1.48812	1.26007	1.36185	2.11300	1.57187	2.27405	1.15828	2.13748	1.02815	1.39020	1.03975
Control_009M-WING	2.14650	1.15828	2.07950	1.06294	2.09110	0.95987	1.91201	0.90189	1.90943	0.96373	1.91072	1.14411	1.92231	1.32449	1.69040	1.23043	1.68009	1.17117	1.33222	1.26909	1.30001	1.11834	1.01785	1.92876	0.59653	1.84630	0.55273	1.65304	0.97919	1.03975
Hypoxia_100M-WING	0.63339	1.30162	0.68370	1.22164	0.67596	1.13133	0.82044	1.09521	0.82689	1.13907	0.83076	1.29646	0.80754	1.44610	1.00749	1.37128	1.02942	1.31968	1.31323	1.39708	1.34548	1.26421	1.56865	1.98274	1.98274	1.91308	2.03563	1.72861	1.65121	1.18939
Hypoxia_101M-WING	1.71958	1.97371	1.63702	2.01112	1.58800	2.08078	1.44997	2.01112	1.47190	1.97629	1.56607	1.86535	1.66024	1.76086	1.46416	1.67830	1.41772	1.70281	1.25389	1.47835	1.15198	1.54930	1.41643	0.89526	1.06683	0.69789	0.93267	0.80109	0.88236	1.41385
Hypoxia_102F-WING	0.67209	1.16875	0.73401	1.08876	0.73788	1.00104	0.90042	0.96621	0.90300	1.01265	0.89268	1.18423	0.88623	1.36354	1.10295	1.29001	1.12746	1.23454	1.43062	1.35064	1.48996	1.21777	1.72087	2.04466	2.16334	2.01241	2.22397	1.82407	1.84987	1.18294
Hypoxia_103F-WING	1.96339	1.46416	1.93243	1.56091	1.95049	1.64476	1.81246	1.72216	1.79569	1.67443	1.76344	1.51318	1.72990	1.35322	1.55704	1.46932	1.54672	1.52995	1.22680	1.50544	1.22422	1.64863	0.83592	0.95976	0.41925	1.09908	0.41796	1.28872	0.90816	1.78537
Hypoxia_106M-WING	1.81891	1.81246	1.74280	1.86277	1.71958	1.93114	1.58542	1.91308	1.59445	1.87567	1.64863	1.74409	1.71055	1.62412	1.52608	1.61638	1.48996	1.65121	1.28614	1.47835	1.21648	1.56994	1.28614	0.90300	0.91590	0.79077	0.81786	0.91461	0.93396	1.50931
Hypoxia_107M-WING	0.84237	0.99975	0.80496	1.07457	0.73272	1.10037	0.78045	1.23325	0.81786	1.21648	0.92751	1.14940	1.04619	1.08876	1.07199	1.25260	1.05006	1.29001	1.23841	1.44997	1.16488	1.52479	1.77634	1.41643	1.95049	1.75183	1.80988	1.84729	1.26421	1.79569
Hypoxia_108F-WING	1.23196	0.80109	1.13520	0.84237	1.05264	0.83205	0.98814	0.97266	1.03587	0.98556	1.18423	1.00491	1.32484	1.00620	1.22938	1.22035	1.18165	1.23454	1.21906	1.50673	1.09392	1.49125	1.71829	1.86019	1.62928	2.24590	1.44481	2.25880	0.97008	1.81891
Hypoxia_108M-WING	1.10166	0.84753	1.03458	0.89526	0.95589	0.88881	0.93009	1.03458	0.97137	1.03587	1.11327	1.03845	1.25389	1.02942	1.18552	1.19455	1.14940	1.21648	1.24357	1.47319	1.14811	1.51318	1.77763	1.68733	1.77118	2.10142	1.60993	2.13754	1.10940	1.80859
Hypoxia_109F-WING	1.64218	2.01241	1.53898	2.02660	1.47964	2.09497	1.34290	1.99951	1.37515	1.95952	1.50157	1.88470	1.62025	1.75570	1.44094	1.64863	1.38418	1.66153	1.26679	1.38289	1.14681	1.44352	1.55317	0.76884	1.24615	0.47601	1.08231	0.55083	0.87849	1.22293
Hypoxia_010M-WING	1.23196	0.68241	1.31968	0.71724	1.39192	0.68628	1.47190	0.81270	1.43320	0.83205	1.28356	0.87333	1.13004	0.91590	1.26292	1.06296	1.31581	1.06683	1.31581	1.37515	1.44610	1.38289	0.84108	1.76731	1.02942	2.14915	1.20616	2.12851	1.58284	1.64863
