Id,Condition,Sex,Centroid Size,Log Centroid Size,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15
S_019M-WING,standard,M,2.363575594,0.8601755548,1.81924,1.36958,1.76513,1.27682,1.77544,1.17374,1.60021,1.1235,1.58733,1.17632,1.58733,1.35799,1.59377,1.53837,1.37087,1.44173,1.35026,1.38504,1.02944,1.47008,0.98048,1.33093,0.69316,2.13104,0.23706,2.03698,0.20872,1.84114,0.6339,1.26136
S_020F-WING,standard,F,2.564291871,0.9416823667,0.71507,0.72795,0.6558,0.82845,0.55401,0.87612,0.60297,1.06809,0.66095,1.04877,0.82201,0.94569,0.98563,0.84262,1.02686,1.10932,0.98563,1.15313,1.26909,1.42112,1.15571,1.53965,2.046,1.3567,2.21736,1.79218,2.07564,1.92876,1.28197,1.89526
S_021F-WING,standard,F,2.601114108,0.9559398563,0.65709,1.83986,0.62874,1.70715,0.52567,1.64015,0.62874,1.43787,0.68543,1.47781,0.80268,1.62727,0.97662,1.76513,1.07325,1.50744,1.0449,1.43272,1.35155,1.23945,1.26909,1.07711,2.11815,1.44689,2.35651,1.06165,2.25473,0.89158,1.45977,0.76016
S_022F-WING,standard,F,2.349887127,0.8543672959,0.58751,1.20209,0.66095,1.12092,0.6442,1.00883,0.83231,0.98435,0.83876,1.03588,0.81685,1.2124,0.78206,1.39149,1.023,1.30774,1.04233,1.25105,1.37474,1.35928,1.40952,1.20982,1.63113,2.05889,2.07177,2.02281,2.1349,1.82955,1.77028,1.16472
S_023F-WING,standard,F,2.746545999,1.010344122,0.55788,1.79863,0.53082,1.66978,0.43935,1.59248,0.53855,1.4121,0.59653,1.4456,0.74084,1.59892,0.86968,1.76642,1.0114,1.49843,0.97533,1.43529,1.31032,1.25491,1.23043,1.08613,2.12975,1.53579,2.42093,1.14669,2.31399,0.95729,1.4572,0.75243
S_024F-WING,standard,F,2.714580938,0.9986375908,1.32707,0.57978,1.21368,0.6442,1.10288,0.6339,1.023,0.81299,1.08871,0.82845,1.28326,0.84906,1.49843,0.84906,1.37474,1.10932,1.30516,1.12994,1.38633,1.5126,1.20467,1.55125,2.12588,1.96354,1.98158,2.42351,1.76255,2.44799,1.09257,1.92747
S_025M-WING,standard,M,2.356896305,0.8573456286,0.69574,1.87722,0.66482,1.77157,0.58365,1.70844,0.66224,1.54996,0.71507,1.58346,0.83876,1.702,0.97146,1.83084,1.05263,1.60279,1.02429,1.54739,1.3013,1.36958,1.22528,1.24718,2.01379,1.5796,2.25859,1.19178,2.15165,1.0449,1.41725,0.93539
S_027M-WING,standard,M,2.33447548,0.8477872319,0.50892,1.45591,0.545,1.34897,0.49732,1.25878,0.65065,1.16086,0.66868,1.2124,0.70347,1.37474,0.76403,1.55512,0.94312,1.39535,0.94698,1.34124,1.30903,1.33093,1.31289,1.17761,1.7574,1.86949,2.17742,1.66721,2.1684,1.4791,1.60794,1.01011
S_028M-WING,standard,M,2.352223574,0.8553610824,0.91606,0.56046,0.82974,0.63776,0.72795,0.63519,0.70734,0.8117,0.76532,0.81556,0.9341,0.78851,1.10675,0.74985,1.05263,0.98563,1.00238,1.01527,1.14282,1.33093,0.99465,1.39406,1.83857,1.55512,1.81409,2.0125,1.62727,2.07306,0.96244,1.7239
S_029M-WING,standard,M,2.406125288,0.8780176894,0.44063,1.31676,0.48057,1.21497,0.44836,1.10803,0.6223,1.02429,0.64292,1.0784,0.66611,1.2562,0.69961,1.44431,0.9225,1.30645,0.93667,1.24074,1.27811,1.26393,1.30001,1.09773,1.71101,1.83728,2.15423,1.66721,2.15165,1.46621,1.6015,0.95987
S_030M-WING,standard,M,2.383478936,0.868561158,0.59524,1.7123,0.58751,1.60279,0.51665,1.52806,0.6339,1.38891,0.67513,1.43014,0.77305,1.57444,0.8787,1.72905,1.023,1.52548,0.99465,1.46364,1.3348,1.3451,1.2678,1.19565,1.97772,1.68525,2.28823,1.34639,2.19288,1.16988,1.49456,0.94827
