disc,area,A,B,C,D,Temp
MAX_17C_21dec_10.oif,128285.148,0.368542874,0.858305952,0.612330207,30.56851575,17C
MAX_17C_21dec_12.oif,201964.83,0.437726197,0.91088673,2.198733444,50.23065148,17C
MAX_17C_21dec_15.oif,217992.362,0.583570205,0.947250039,-2.598432246,17.86044744,17C
MAX_17C_21dec_16.oif,195064.988,0.32601833,0.946709315,-18.32844877,57.64325639,17C
MAX_17C_21dec_17.oif,187040.407,0.389032693,0.885343655,0.090326139,35.2565347,17C
MAX_17C_21dec_18.oif,235486.073,0.398701957,0.888022974,-0.883223781,48.34879736,17C
MAX_17C_21dec_2.oif,119619.404,0.43839442,0.899262632,2.624204712,37.12941308,17C
MAX_17C_21dec_3.oif,134973.329,0.526696742,0.888058203,-4.409313771,26.4307198,17C
MAX_17C_21dec_4.oif,109838.191,0.078808158,0.898692666,-2.109673141,69.56174244,17C
MAX_17C_21dec_5.oif,154069.174,0.561599551,0.979216231,11.05030928,36.3964996,17C
MAX_17C_21dec_7.oif,147535.491,0.531312146,0.958450258,2.419388736,38.46424629,17C
MAX_17C_14dec_12.oif,140990.992,0.754414695,0.923878317,6.515449921,25.73704533,17C
MAX_17C_14dec_13.oif,167107.187,0.778738419,0.958914868,7.642398825,26.29738154,17C
MAX_17C_14dec_14.oif,190657.185,0.714624764,0.929210971,-3.444227204,30.95510079,17C
MAX_17C_14dec_16.oif,101876.953,0.655594806,0.941375793,-2.4707827,31.51880905,17C
MAX_17C_14dec_17.oif,150943.697,0.750508975,0.956571926,7.463536365,32.59164352,17C
MAX_17C_14dec_20.oif,147418.073,0.713907902,0.956630116,5.306564545,30.25298963,17C
MAX_17C_14dec_6.oif,119925.308,0.769441152,0.941621659,17.93480291,39.15306521,17C
MAX_17C_14dec_9.oif,160527.154,0.682670866,0.925084162,9.153911616,44.10777395,17C
MAX_17C_5dec_1.oif,171834.799,0.858275192,0.987338893,-6.941581054,12.47574276,17C
MAX_17C_5dec_10.oif,114072.957,0.423611906,0.879197871,2.400810051,25.85936099,17C
MAX_17C_5dec_11.oif,119641.034,0.492547115,0.900740566,1.129758703,25.49623007,17C
MAX_17C_5dec_12.oif,147283.66,0.640020552,0.924742717,5.721847183,32.95555301,17C
MAX_17C_5dec_13.oif,129332.639,0.452071058,0.874233652,8.628592219,30.55920207,17C
