disc,distance,value,area
MAX_hypoxia_1feb_1.oif,123.054,2898.799,164851.529
MAX_hypoxia_1feb_1.oif,124.297,2882.236,164851.529
MAX_hypoxia_1feb_1.oif,125.54,2839.431,164851.529
MAX_hypoxia_1feb_1.oif,126.783,2803.579,164851.529
MAX_hypoxia_1feb_1.oif,128.026,2765.179,164851.529
MAX_hypoxia_1feb_1.oif,129.269,2715.368,164851.529
MAX_hypoxia_1feb_1.oif,130.512,2749.157,164851.529
MAX_hypoxia_1feb_1.oif,131.755,2757.317,164851.529
MAX_hypoxia_1feb_1.oif,132.998,2751.71,164851.529
MAX_hypoxia_1feb_1.oif,134.241,2702.887,164851.529
MAX_hypoxia_1feb_1.oif,135.484,2698.478,164851.529
MAX_hypoxia_1feb_1.oif,136.727,2722.919,164851.529
MAX_hypoxia_1feb_1.oif,137.97,2672.595,164851.529
MAX_hypoxia_1feb_1.oif,139.212,2659.426,164851.529
MAX_hypoxia_1feb_1.oif,140.455,2664.137,164851.529
MAX_hypoxia_1feb_1.oif,141.698,2638.302,164851.529
MAX_hypoxia_1feb_1.oif,142.941,2605.094,164851.529
MAX_hypoxia_1feb_1.oif,144.184,2590.433,164851.529
MAX_hypoxia_1feb_1.oif,145.427,2558.947,164851.529
MAX_hypoxia_1feb_1.oif,146.67,2582.843,164851.529
MAX_hypoxia_1feb_1.oif,147.913,2599.97,164851.529
MAX_hypoxia_1feb_1.oif,149.156,2650.604,164851.529
MAX_hypoxia_1feb_1.oif,150.399,2663.86,164851.529
MAX_hypoxia_1feb_1.oif,151.642,2619.663,164851.529
MAX_hypoxia_1feb_1.oif,152.885,2622.646,164851.529
MAX_hypoxia_1feb_1.oif,154.128,2567.585,164851.529
MAX_hypoxia_1feb_1.oif,155.371,2493.696,164851.529
MAX_hypoxia_1feb_1.oif,156.614,2470.111,164851.529
MAX_hypoxia_1feb_1.oif,157.857,2493.171,164851.529
MAX_hypoxia_1feb_1.oif,159.1,2548.738,164851.529
MAX_hypoxia_1feb_1.oif,160.343,2545.053,164851.529
MAX_hypoxia_1feb_1.oif,161.586,2534.563,164851.529
MAX_hypoxia_1feb_1.oif,162.829,2499.22,164851.529
MAX_hypoxia_1feb_1.oif,164.072,2421.094,164851.529
MAX_hypoxia_1feb_1.oif,165.315,2431.552,164851.529
MAX_hypoxia_1feb_1.oif,166.558,2430.474,164851.529
MAX_hypoxia_1feb_1.oif,167.801,2390.966,164851.529
MAX_hypoxia_1feb_1.oif,169.044,2364.915,164851.529
MAX_hypoxia_1feb_1.oif,170.287,2307.867,164851.529
MAX_hypoxia_1feb_1.oif,171.53,2316.456,164851.529
MAX_hypoxia_1feb_1.oif,172.773,2311.316,164851.529
MAX_hypoxia_1feb_1.oif,174.016,2299.868,164851.529
MAX_hypoxia_1feb_1.oif,175.259,2260.035,164851.529
MAX_hypoxia_1feb_1.oif,176.502,2233.97,164851.529
MAX_hypoxia_1feb_1.oif,177.745,2136.557,164851.529
MAX_hypoxia_1feb_1.oif,178.988,2112.51,164851.529
MAX_hypoxia_1feb_1.oif,180.23,2084.841,164851.529
MAX_hypoxia_1feb_1.oif,181.473,2061.418,164851.529
MAX_hypoxia_1feb_1.oif,182.716,2076.915,164851.529
MAX_hypoxia_1feb_1.oif,183.959,2112.415,164851.529
MAX_hypoxia_1feb_1.oif,185.202,2112.556,164851.529
MAX_hypoxia_1feb_1.oif,186.445,2055.019,164851.529
MAX_hypoxia_1feb_1.oif,187.688,2028.75,164851.529
MAX_hypoxia_1feb_1.oif,188.931,2033.525,164851.529
MAX_hypoxia_1feb_1.oif,190.174,2022.562,164851.529
MAX_hypoxia_1feb_1.oif,191.417,2053.402,164851.529
MAX_hypoxia_1feb_1.oif,192.66,2000.474,164851.529
MAX_hypoxia_1feb_1.oif,193.903,1969.821,164851.529
MAX_hypoxia_1feb_1.oif,195.146,1935.426,164851.529
MAX_hypoxia_1feb_1.oif,196.389,1934.561,164851.529
MAX_hypoxia_1feb_1.oif,197.632,2003.272,164851.529
MAX_hypoxia_1feb_1.oif,198.875,1981.636,164851.529
MAX_hypoxia_1feb_1.oif,200.118,1948.86,164851.529
MAX_hypoxia_1feb_1.oif,201.361,2003.489,164851.529
MAX_hypoxia_1feb_1.oif,202.604,2037.883,164851.529
MAX_hypoxia_1feb_1.oif,203.847,1983.172,164851.529
MAX_hypoxia_1feb_1.oif,205.09,1940.754,164851.529
MAX_hypoxia_1feb_1.oif,206.333,1989.044,164851.529
MAX_hypoxia_1feb_1.oif,207.576,1964.079,164851.529
MAX_hypoxia_1feb_1.oif,208.819,1935.06,164851.529
MAX_hypoxia_1feb_1.oif,210.062,1873.93,164851.529
MAX_hypoxia_1feb_1.oif,211.305,1976.14,164851.529
MAX_hypoxia_1feb_1.oif,212.548,2136.389,164851.529
MAX_hypoxia_1feb_10.oif,0,1674.589,130811.176
MAX_hypoxia_1feb_10.oif,1.243,1672.938,130811.176
MAX_hypoxia_1feb_10.oif,2.486,1674.736,130811.176
MAX_hypoxia_1feb_10.oif,3.729,1671.99,130811.176
MAX_hypoxia_1feb_10.oif,4.972,1649.324,130811.176
MAX_hypoxia_1feb_10.oif,6.215,1643.481,130811.176
MAX_hypoxia_1feb_10.oif,7.458,1642.407,130811.176
MAX_hypoxia_1feb_10.oif,8.701,1648.88,130811.176
MAX_hypoxia_1feb_10.oif,9.944,1685.071,130811.176
MAX_hypoxia_1feb_10.oif,11.187,1717.434,130811.176
MAX_hypoxia_1feb_10.oif,12.43,1728.014,130811.176
MAX_hypoxia_1feb_10.oif,13.673,1780.096,130811.176
MAX_hypoxia_1feb_10.oif,14.916,1836.66,130811.176
MAX_hypoxia_1feb_10.oif,16.159,1867.78,130811.176
MAX_hypoxia_1feb_10.oif,17.402,1881.565,130811.176
MAX_hypoxia_1feb_10.oif,18.645,1929.917,130811.176
MAX_hypoxia_1feb_10.oif,19.888,1976.312,130811.176
MAX_hypoxia_1feb_10.oif,21.13,2018.06,130811.176
MAX_hypoxia_1feb_10.oif,22.373,2042.404,130811.176
MAX_hypoxia_1feb_10.oif,23.616,2093.903,130811.176
MAX_hypoxia_1feb_10.oif,24.859,2113.978,130811.176
MAX_hypoxia_1feb_10.oif,26.102,2165.569,130811.176
MAX_hypoxia_1feb_10.oif,27.345,2160.727,130811.176
MAX_hypoxia_1feb_10.oif,28.588,2187.106,130811.176
MAX_hypoxia_1feb_10.oif,29.831,2226.25,130811.176
MAX_hypoxia_1feb_10.oif,31.074,2216.696,130811.176
MAX_hypoxia_1feb_10.oif,32.317,2272.477,130811.176
MAX_hypoxia_1feb_10.oif,33.56,2276.613,130811.176
MAX_hypoxia_1feb_10.oif,34.803,2313.122,130811.176
MAX_hypoxia_1feb_10.oif,36.046,2352.465,130811.176
MAX_hypoxia_1feb_10.oif,37.289,2367.459,130811.176
MAX_hypoxia_1feb_10.oif,38.532,2407.663,130811.176
MAX_hypoxia_1feb_10.oif,39.775,2419.738,130811.176
MAX_hypoxia_1feb_10.oif,41.018,2447.667,130811.176
MAX_hypoxia_1feb_10.oif,42.261,2428.633,130811.176
MAX_hypoxia_1feb_10.oif,43.504,2454.426,130811.176
MAX_hypoxia_1feb_10.oif,44.747,2491.464,130811.176
MAX_hypoxia_1feb_10.oif,45.99,2512.7,130811.176
MAX_hypoxia_1feb_10.oif,47.233,2566.059,130811.176
MAX_hypoxia_1feb_10.oif,48.476,2572.65,130811.176
MAX_hypoxia_1feb_10.oif,49.719,2615.755,130811.176
MAX_hypoxia_1feb_10.oif,50.962,2594.058,130811.176
MAX_hypoxia_1feb_10.oif,52.205,2594.468,130811.176
MAX_hypoxia_1feb_10.oif,53.448,2584.997,130811.176
MAX_hypoxia_1feb_10.oif,54.691,2605.209,130811.176
MAX_hypoxia_1feb_10.oif,55.934,2599.031,130811.176
MAX_hypoxia_1feb_10.oif,57.177,2656.413,130811.176
MAX_hypoxia_1feb_10.oif,58.42,2729.946,130811.176
MAX_hypoxia_1feb_10.oif,59.662,2717.951,130811.176
MAX_hypoxia_1feb_10.oif,60.905,2748.126,130811.176
MAX_hypoxia_1feb_10.oif,62.148,2791.184,130811.176
MAX_hypoxia_1feb_10.oif,63.391,2815.75,130811.176
MAX_hypoxia_1feb_10.oif,64.634,2889.582,130811.176
MAX_hypoxia_1feb_10.oif,65.877,2954.291,130811.176
MAX_hypoxia_1feb_10.oif,67.12,2982.319,130811.176
MAX_hypoxia_1feb_10.oif,68.363,3028.76,130811.176
MAX_hypoxia_1feb_10.oif,69.606,3060.573,130811.176
MAX_hypoxia_1feb_10.oif,70.849,3123.3,130811.176
MAX_hypoxia_1feb_10.oif,72.092,3190.989,130811.176
MAX_hypoxia_1feb_10.oif,73.335,3184.627,130811.176
MAX_hypoxia_1feb_10.oif,74.578,3168.047,130811.176
MAX_hypoxia_1feb_10.oif,75.821,3171.916,130811.176
MAX_hypoxia_1feb_10.oif,77.064,3180.029,130811.176
MAX_hypoxia_1feb_10.oif,78.307,3214.271,130811.176
MAX_hypoxia_1feb_10.oif,79.55,3192.275,130811.176
MAX_hypoxia_1feb_10.oif,80.793,3180.292,130811.176
MAX_hypoxia_1feb_10.oif,82.036,3251.869,130811.176
MAX_hypoxia_1feb_10.oif,83.279,3217.683,130811.176
MAX_hypoxia_1feb_10.oif,84.522,3184.826,130811.176
MAX_hypoxia_1feb_10.oif,85.765,3199.163,130811.176
MAX_hypoxia_1feb_10.oif,87.008,3164.805,130811.176
MAX_hypoxia_1feb_10.oif,88.251,3146.175,130811.176
MAX_hypoxia_1feb_10.oif,89.494,3104.163,130811.176
MAX_hypoxia_1feb_10.oif,90.737,3052.746,130811.176
MAX_hypoxia_1feb_10.oif,91.98,2974.204,130811.176
MAX_hypoxia_1feb_10.oif,93.223,3011.953,130811.176
MAX_hypoxia_1feb_10.oif,94.466,3028.698,130811.176
MAX_hypoxia_1feb_10.oif,95.709,2971.05,130811.176
MAX_hypoxia_1feb_10.oif,96.952,2950.349,130811.176
