disc,distance,value,area
MAX_26thoct_1.oif,123.054,2573.749,118208.845
MAX_26thoct_1.oif,124.297,2598.676,118208.845
MAX_26thoct_1.oif,125.54,2593.183,118208.845
MAX_26thoct_1.oif,126.783,2527.626,118208.845
MAX_26thoct_1.oif,128.026,2544.199,118208.845
MAX_26thoct_1.oif,129.269,2547.628,118208.845
MAX_26thoct_1.oif,130.512,2624.587,118208.845
MAX_26thoct_1.oif,131.755,2647.097,118208.845
MAX_26thoct_1.oif,132.998,2645.697,118208.845
MAX_26thoct_1.oif,134.241,2562.53,118208.845
MAX_26thoct_1.oif,135.484,2528.251,118208.845
MAX_26thoct_1.oif,136.727,2531.648,118208.845
MAX_26thoct_1.oif,137.97,2491.91,118208.845
MAX_26thoct_1.oif,139.212,2435.88,118208.845
MAX_26thoct_1.oif,140.455,2448.286,118208.845
MAX_26thoct_1.oif,141.698,2445.267,118208.845
MAX_26thoct_1.oif,142.941,2454.225,118208.845
MAX_26thoct_1.oif,144.184,2515.246,118208.845
MAX_26thoct_1.oif,145.427,2538.814,118208.845
MAX_26thoct_1.oif,146.67,2449.165,118208.845
MAX_26thoct_1.oif,147.913,2443.118,118208.845
MAX_26thoct_1.oif,149.156,2380.489,118208.845
MAX_26thoct_1.oif,150.399,2405.083,118208.845
MAX_26thoct_1.oif,151.642,2425.278,118208.845
MAX_26thoct_1.oif,152.885,2387.669,118208.845
MAX_26thoct_1.oif,154.128,2349.956,118208.845
MAX_26thoct_1.oif,155.371,2363.514,118208.845
MAX_26thoct_1.oif,156.614,2370.19,118208.845
MAX_26thoct_1.oif,157.857,2296.307,118208.845
MAX_26thoct_1.oif,159.1,2255.74,118208.845
MAX_26thoct_1.oif,160.343,2220.302,118208.845
MAX_26thoct_1.oif,161.586,2247.364,118208.845
MAX_26thoct_1.oif,162.829,2304.113,118208.845
MAX_26thoct_1.oif,164.072,2193.258,118208.845
MAX_26thoct_1.oif,165.315,2140.067,118208.845
MAX_26thoct_1.oif,166.558,2052.688,118208.845
MAX_26thoct_1.oif,167.801,1965.179,118208.845
MAX_26thoct_1.oif,169.044,1936.299,118208.845
MAX_26thoct_1.oif,170.287,1932.175,118208.845
MAX_26thoct_1.oif,171.53,1911.926,118208.845
MAX_26thoct_1.oif,172.773,1926.189,118208.845
MAX_26thoct_1.oif,174.016,1933.591,118208.845
MAX_26thoct_1.oif,175.259,1971.592,118208.845
MAX_26thoct_1.oif,176.502,1995.734,118208.845
MAX_26thoct_1.oif,177.745,1977.365,118208.845
MAX_26thoct_1.oif,178.988,1975.036,118208.845
MAX_26thoct_1.oif,180.23,1980.51,118208.845
MAX_26thoct_1.oif,181.473,1966.562,118208.845
MAX_26thoct_1.oif,182.716,2003.532,118208.845
MAX_26thoct_1.oif,183.959,2028.475,118208.845
MAX_26thoct_1.oif,185.202,2002.741,118208.845
MAX_26thoct_1.oif,186.445,1973.149,118208.845
MAX_26thoct_1.oif,187.688,2060.335,118208.845
MAX_26thoct_1.oif,188.931,2116.198,118208.845
MAX_26thoct_1.oif,190.174,2143.576,118208.845
MAX_26thoct_1.oif,191.417,2101.616,118208.845
MAX_26thoct_1.oif,192.66,2049.462,118208.845
MAX_26thoct_1.oif,193.903,2007.882,118208.845
MAX_26thoct_1.oif,195.146,2033.89,118208.845
MAX_26thoct_1.oif,196.389,2039.191,118208.845
MAX_26thoct_1.oif,197.632,2027.082,118208.845
MAX_26thoct_1.oif,198.875,2025.383,118208.845
MAX_26thoct_1.oif,200.118,2007.877,118208.845
MAX_26thoct_1.oif,201.361,1972.532,118208.845
MAX_26thoct_1.oif,202.604,2047.812,118208.845
MAX_26thoct_1.oif,203.847,2141.306,118208.845
MAX_26thoct_1.oif,205.09,2074.811,118208.845
MAX_26thoct_1.oif,206.333,2085.427,118208.845
MAX_26thoct_1.oif,207.576,2193.843,118208.845
MAX_26thoct_1.oif,208.819,2214.064,118208.845
MAX_26thoct_1.oif,210.062,2213.291,118208.845
MAX_26thoct_1.oif,211.305,2146.444,118208.845
MAX_26thoct_1.oif,212.548,2097.501,118208.845
MAX_26thoct_10.oif,0,1915.63,153695.291
MAX_26thoct_10.oif,1.243,1929.514,153695.291
MAX_26thoct_10.oif,2.486,1907.415,153695.291
MAX_26thoct_10.oif,3.729,1912.555,153695.291
MAX_26thoct_10.oif,4.972,1866.977,153695.291
MAX_26thoct_10.oif,6.215,1852.97,153695.291
MAX_26thoct_10.oif,7.458,1859.933,153695.291
MAX_26thoct_10.oif,8.701,1828.992,153695.291
MAX_26thoct_10.oif,9.944,1851.924,153695.291
MAX_26thoct_10.oif,11.187,1897.909,153695.291
MAX_26thoct_10.oif,12.43,1909.44,153695.291
MAX_26thoct_10.oif,13.673,1894.582,153695.291
MAX_26thoct_10.oif,14.916,1847.395,153695.291
MAX_26thoct_10.oif,16.159,1852.916,153695.291
MAX_26thoct_10.oif,17.402,1859.037,153695.291
MAX_26thoct_10.oif,18.645,1840.453,153695.291
MAX_26thoct_10.oif,19.888,1836.805,153695.291
MAX_26thoct_10.oif,21.13,1818.443,153695.291
MAX_26thoct_10.oif,22.373,1814.26,153695.291
MAX_26thoct_10.oif,23.616,1858.954,153695.291
MAX_26thoct_10.oif,24.859,1866.945,153695.291
MAX_26thoct_10.oif,26.102,1916.862,153695.291
MAX_26thoct_10.oif,27.345,1978.191,153695.291
MAX_26thoct_10.oif,28.588,2020.939,153695.291
MAX_26thoct_10.oif,29.831,2003.172,153695.291
MAX_26thoct_10.oif,31.074,1964.304,153695.291
MAX_26thoct_10.oif,32.317,1989.993,153695.291
MAX_26thoct_10.oif,33.56,1985.219,153695.291
MAX_26thoct_10.oif,34.803,1991.852,153695.291
MAX_26thoct_10.oif,36.046,1996.92,153695.291
MAX_26thoct_10.oif,37.289,2005.943,153695.291
MAX_26thoct_10.oif,38.532,2024.338,153695.291
MAX_26thoct_10.oif,39.775,2064.489,153695.291
