disc,area,A,B,C,D,condition
MAX_5thoct_6.oif,79575.292,0.461129756,0.944046959,1.718312859,39.23773602,standard
MAX_5thoct_7.oif,85583.686,0.412578312,0.921479999,-0.713262645,43.33602333,standard
MAX_5thoct_8.oif,58061.567,0.481605232,0.927281626,-3.381476321,25.39590267,standard
MAX_5thoct_9.oif,66036.709,0.506179283,0.924912147,0.252094219,23.48856193,standard
MAX_6thoct_1.oif,113417.889,0.608868893,0.930974321,2.88496538,27.89545671,standard
MAX_6thoct_2.oif,148043.786,0.55452831,0.947851357,9.926175721,38.57461654,standard
MAX_6thoct_3.oif,168934.888,0.15412032,0.95304591,5.591495743,67.44042105,standard
MAX_6thoct_5.oif,88495.957,0.66437843,0.938208752,3.622272269,23.15306446,standard
MAX_6thoct_6.oif,167317.303,0.548265861,0.98211596,3.47428561,46.99903869,standard
MAX_6thoct_7.oif,161151.323,0.526858193,0.937489492,2.340658859,42.2189582,standard
MAX_hypoxia_1feb_1.oif,164851.529,0.498141373,0.864709112,6.187081119,36.98447039,hypoxia
MAX_hypoxia_1feb_10.oif,130811.176,0.480719954,0.957063591,-1.386872663,31.06375434,hypoxia
MAX_hypoxia_1feb_11.oif,192610.029,0.462244351,0.934318798,1.562410477,26.70463605,hypoxia
MAX_hypoxia_1feb_12.oif,225105.41,0.430583387,0.858518864,2.688040169,34.23555112,hypoxia
MAX_hypoxia_1feb_13.oif,169407.649,0.461992169,0.880588372,2.010891996,29.64012037,hypoxia
MAX_hypoxia_1feb_14.oif,242046.021,0.480577172,0.851527336,0.545867369,38.67838171,hypoxia
MAX_hypoxia_1feb_15.oif,231634.459,0.453436089,0.875631436,5.20272234,40.62422155,hypoxia
MAX_hypoxia_1feb_17.oif,231136.978,0.453467966,0.882487743,5.095066339,40.79900709,hypoxia
MAX_hypoxia_1feb_19.oif,169095.565,0.453039238,0.91801808,2.449142828,30.03746413,hypoxia
MAX_hypoxia_1feb_2.oif,218995.049,0.53241223,0.9028526,2.76752421,33.57425286,hypoxia
MAX_hypoxia_1feb_20.oif,231753.422,0.45860639,0.876170031,4.079682178,37.5099773,hypoxia
MAX_hypoxia_1feb_21.oif,189694.668,0.438799461,0.889163932,2.410712512,32.23488442,hypoxia
