disc,distance,value,area
MAX_17C14dec_12.oif,0,1462.589,140990.992
MAX_17C14dec_12.oif,1.243,1379.293,140990.992
MAX_17C14dec_12.oif,2.486,1345.028,140990.992
MAX_17C14dec_12.oif,3.729,1278.447,140990.992
MAX_17C14dec_12.oif,4.972,1274.317,140990.992
MAX_17C14dec_12.oif,6.215,1292.916,140990.992
MAX_17C14dec_12.oif,7.458,1277.951,140990.992
MAX_17C14dec_12.oif,8.701,1326.446,140990.992
MAX_17C14dec_12.oif,9.944,1335.36,140990.992
MAX_17C14dec_12.oif,11.187,1359.103,140990.992
MAX_17C14dec_12.oif,12.43,1410.042,140990.992
MAX_17C14dec_12.oif,13.673,1431.22,140990.992
MAX_17C14dec_12.oif,14.916,1444.112,140990.992
MAX_17C14dec_12.oif,16.159,1446.366,140990.992
MAX_17C14dec_12.oif,17.402,1469.137,140990.992
MAX_17C14dec_12.oif,18.645,1475.308,140990.992
MAX_17C14dec_12.oif,19.888,1493.122,140990.992
MAX_17C14dec_12.oif,21.13,1497.515,140990.992
MAX_17C14dec_12.oif,22.373,1508.755,140990.992
MAX_17C14dec_12.oif,23.616,1495.87,140990.992
MAX_17C14dec_12.oif,24.859,1492.246,140990.992
MAX_17C14dec_12.oif,26.102,1511.894,140990.992
MAX_17C14dec_12.oif,27.345,1509.162,140990.992
MAX_17C14dec_12.oif,28.588,1511.859,140990.992
MAX_17C14dec_12.oif,29.831,1535.327,140990.992
MAX_17C14dec_12.oif,31.074,1572.833,140990.992
MAX_17C14dec_12.oif,32.317,1546.675,140990.992
MAX_17C14dec_12.oif,33.56,1534.294,140990.992
MAX_17C14dec_12.oif,34.803,1522.327,140990.992
MAX_17C14dec_12.oif,36.046,1519.947,140990.992
MAX_17C14dec_12.oif,37.289,1501.663,140990.992
MAX_17C14dec_12.oif,38.532,1493.73,140990.992
MAX_17C14dec_12.oif,39.775,1500.993,140990.992
MAX_17C14dec_12.oif,41.018,1509.34,140990.992
MAX_17C14dec_12.oif,42.261,1521.759,140990.992
MAX_17C14dec_12.oif,43.504,1528.704,140990.992
MAX_17C14dec_12.oif,44.747,1543.24,140990.992
MAX_17C14dec_12.oif,45.99,1548.072,140990.992
MAX_17C14dec_12.oif,47.233,1567.831,140990.992
MAX_17C14dec_12.oif,48.476,1584.967,140990.992
MAX_17C14dec_12.oif,49.719,1560.217,140990.992
MAX_17C14dec_12.oif,50.962,1589.741,140990.992
MAX_17C14dec_12.oif,52.205,1611.854,140990.992
MAX_17C14dec_12.oif,53.448,1615.015,140990.992
MAX_17C14dec_12.oif,54.691,1638.214,140990.992
MAX_17C14dec_12.oif,55.934,1626.043,140990.992
MAX_17C14dec_12.oif,57.177,1662.206,140990.992
MAX_17C14dec_12.oif,58.42,1655.667,140990.992
MAX_17C14dec_12.oif,59.662,1677.822,140990.992
MAX_17C14dec_12.oif,60.905,1697.056,140990.992
MAX_17C14dec_12.oif,62.148,1736.665,140990.992
MAX_17C14dec_12.oif,63.391,1752.751,140990.992
MAX_17C14dec_12.oif,64.634,1775.37,140990.992
MAX_17C14dec_12.oif,65.877,1788.428,140990.992
MAX_17C14dec_12.oif,67.12,1827.892,140990.992
MAX_17C14dec_12.oif,68.363,1855.606,140990.992
MAX_17C14dec_12.oif,69.606,1853.347,140990.992
MAX_17C14dec_12.oif,70.849,1820.491,140990.992
MAX_17C14dec_12.oif,72.092,1810.945,140990.992
MAX_17C14dec_12.oif,73.335,1829.494,140990.992
MAX_17C14dec_12.oif,74.578,1777.169,140990.992
MAX_17C14dec_12.oif,75.821,1724.546,140990.992
MAX_17C14dec_12.oif,77.064,1723.096,140990.992
MAX_17C14dec_12.oif,78.307,1720.658,140990.992
MAX_17C14dec_12.oif,79.55,1670.619,140990.992
MAX_17C14dec_12.oif,80.793,1667.814,140990.992
MAX_17C14dec_12.oif,82.036,1673.682,140990.992
MAX_17C14dec_12.oif,83.279,1678.794,140990.992
MAX_17C14dec_12.oif,84.522,1636.841,140990.992
MAX_17C14dec_12.oif,85.765,1643.605,140990.992
MAX_17C14dec_12.oif,87.008,1618.363,140990.992
MAX_17C14dec_12.oif,88.251,1636.427,140990.992
MAX_17C14dec_12.oif,89.494,1631.478,140990.992
MAX_17C14dec_12.oif,90.737,1604.482,140990.992
MAX_17C14dec_12.oif,91.98,1611.155,140990.992
MAX_17C14dec_12.oif,93.223,1588.376,140990.992
MAX_17C14dec_12.oif,94.466,1589.874,140990.992
MAX_17C14dec_12.oif,95.709,1578.868,140990.992
MAX_17C14dec_12.oif,96.952,1543.444,140990.992
MAX_17C14dec_12.oif,98.195,1552.935,140990.992
MAX_17C14dec_12.oif,99.438,1587.966,140990.992
MAX_17C14dec_12.oif,100.68,1604.756,140990.992
MAX_17C14dec_12.oif,101.923,1613.993,140990.992
MAX_17C14dec_12.oif,103.166,1599.837,140990.992
MAX_17C14dec_12.oif,104.409,1552.484,140990.992
MAX_17C14dec_12.oif,105.652,1546.759,140990.992
MAX_17C14dec_12.oif,106.895,1571.859,140990.992
MAX_17C14dec_12.oif,108.138,1553.883,140990.992
MAX_17C14dec_12.oif,109.381,1544.222,140990.992
MAX_17C14dec_12.oif,110.624,1552.84,140990.992
MAX_17C14dec_12.oif,111.867,1546.468,140990.992
MAX_17C14dec_12.oif,113.11,1552.063,140990.992
MAX_17C14dec_12.oif,114.353,1545.758,140990.992
MAX_17C14dec_12.oif,115.596,1592.171,140990.992
MAX_17C14dec_12.oif,116.839,1553.354,140990.992
MAX_17C14dec_12.oif,118.082,1584.769,140990.992
MAX_17C14dec_12.oif,119.325,1569.212,140990.992
MAX_17C14dec_12.oif,120.568,1580.979,140990.992
MAX_17C14dec_12.oif,121.811,1591.939,140990.992
MAX_17C14dec_12.oif,123.054,1577.271,140990.992
MAX_17C14dec_12.oif,124.297,1569.445,140990.992
MAX_17C14dec_12.oif,125.54,1562.471,140990.992
MAX_17C14dec_12.oif,126.783,1560.418,140990.992
MAX_17C14dec_12.oif,128.026,1570.202,140990.992
MAX_17C14dec_12.oif,129.269,1578.8,140990.992
MAX_17C14dec_12.oif,130.512,1530.47,140990.992
MAX_17C14dec_12.oif,131.755,1507.202,140990.992
MAX_17C14dec_12.oif,132.998,1497.998,140990.992
MAX_17C14dec_12.oif,134.241,1476.462,140990.992
MAX_17C14dec_12.oif,135.484,1459.558,140990.992
MAX_17C14dec_12.oif,136.727,1441.66,140990.992
MAX_17C14dec_12.oif,137.97,1428.283,140990.992
MAX_17C14dec_12.oif,139.212,1421.614,140990.992
MAX_17C14dec_12.oif,140.455,1399.449,140990.992
MAX_17C14dec_12.oif,141.698,1435.24,140990.992
MAX_17C14dec_12.oif,142.941,1446.909,140990.992
MAX_17C14dec_12.oif,144.184,1502.604,140990.992
MAX_17C14dec_12.oif,145.427,1487.551,140990.992
MAX_17C14dec_12.oif,146.67,1427.096,140990.992
MAX_17C14dec_12.oif,147.913,1398.006,140990.992
MAX_17C14dec_12.oif,149.156,1461.874,140990.992
MAX_17C14dec_12.oif,150.399,1398.958,140990.992
MAX_17C14dec_12.oif,151.642,1339.807,140990.992
MAX_17C14dec_12.oif,152.885,1376.41,140990.992
MAX_17C14dec_12.oif,154.128,1367.952,140990.992
MAX_17C14dec_12.oif,155.371,1378.02,140990.992
MAX_17C14dec_12.oif,156.614,1388.444,140990.992
MAX_17C14dec_12.oif,157.857,1447.041,140990.992
MAX_17C14dec_12.oif,159.1,1466.514,140990.992
MAX_17C14dec_12.oif,160.343,1493.549,140990.992
